State,District,Market,Variety,Crop,Arrivals_Tonnes,Min_Price,Max_Price,Modal_Price
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,6,3200,4200,3600
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,7,700,1000,800
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,7,800,1000,900
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,7,2000,2800,2400
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,600,800,700
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,700,800,750
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,700,850,800
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,700,1000,800
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,800,900,850
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,800,1100,900
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,800,1200,900
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,800,1200,1000
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,1000,1400,1200
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,1200,1400,1300
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,1200,1600,1400
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,1500,1800,1600
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,2000,2500,2200
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,2000,2500,2200
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,2000,2800,2400
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,2700,3600,3200
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,3200,4200,3600
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,600,700,650
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,700,1000,800
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,800,1200,900
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,900,1200,1000
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,900,1200,1000
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,1000,1200,1100
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,1000,1400,1200
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,1600,2000,1800
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,8,2000,2800,2400
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,9,600,800,700
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,9,900,1100,1000
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,9,1000,1200,1100
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,9,1100,1300,1200
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,9,1400,1600,1500
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,9,600,800,700
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,9,700,800,750
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,9,1000,1200,1100
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,600,800,650
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,600,800,700
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,600,800,700
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,600,800,700
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,600,800,700
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,600,850,700
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,700,800,750
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,700,850,800
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,700,900,800
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,700,900,800
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,700,900,800
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,700,1000,800
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,700,1000,800
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,800,1000,900
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,1000,1200,1100
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,1200,1400,1300
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,1200,1500,1400
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,1200,1600,1400
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,1200,1600,1400
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,1400,2000,1600
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,1600,2000,1800
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,1800,2200,2000
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,2000,2300,2200
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,2000,2400,2200
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,2400,3000,2600
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,3000,4200,3600
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,11,800,1200,1000
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,12,600,700,650
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,12,600,800,700
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,12,600,800,700
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,12,600,800,700
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,12,600,800,700
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,12,600,800,700
Uttrakhand,Haridwar,Haridwar Union,Deshi,Tomato,12,600,800,700
